web-scraper-order,web-scraper-start-url,link_to,link_to-href,title,match_info
"1541972168-68","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","3:0","https://www.nogomania.com/Evropske-Lige/Ekipa/Real-Madrid/Novica/Mocni-Real-odpravil-Romo.aspx","Močni Real odpravil Romo","Štadion: Santiago Bernabeu, Gledalcev: 69251, Sodnik: Björn Kuipers (NIZ)
        
        
            
                
                
                Real Madrid
            
            
                3 : 0
            
            
                
                
                Roma
            
        
    
    
        
            
            
        23'Sergio Ramos    44'Daniele De Rossi45'Isco1 : 0 58'Gareth Bale2 : 0   76'Edin Džeko91'Mariano Diaz3 : 0 
        
        
            Real Madrid: Keylor Navas, Daniel Carvajal, Marcelo, Sergio Ramos, Raphaël Varane, Luka Modrić (od 85. Dani Ceballos), Toni Kroos, Isco, Casemiro, Gareth Bale (od 73. Mariano Diaz), Karim Benzema (od 62. Marcos Asensio).
Trener: Julen Lopetegui
            
            Roma: Robin Olsen, Konstantinos Manolas, Aleksandar Kolarov, Federico Fazio, Steven Nzonzi (od 69. Patrik Schick), Daniele De Rossi, Alessandro Florenzi, Nicolò Zaniolo (od 54. Lorenzo Pellegrini), Cengiz Under, Edin Džeko, Stephan El Shaarawy (od 62. Diego Perotti).
Trener: Eusebio Di Francesco"
"1541972128-56","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","1:1","https://www.nogomania.com/Evropske-Lige/Ekipa/BSC-Young-Boys/Novica/Valencia-zakockala-tri-tocke-v-Svici.aspx","Valencia zakockala tri točke v Švici","Štadion: Stade de Suisse, Gledalcev: 31120, Sodnik: Andris Treimanis (LAT)
        
        
            
                
                
                Young Boys
            
            
                1 : 1
            
            
                
                
                Valencia
            
        
    
    
        
            
            
          8'Gabriel Paulista 0 : 126'Michy Batshuayi42'Kevin Mbabu  55'Guillaume Hoarau (11m)1 : 1   77'Carlos Soler
        
        
            Young Boys: Marco Wolfli, Steve von Bergen, Kevin Mbabu, Loris Benito, Djibril Sow, Sékou Sanogo, Sandro Lauper, Christian Fassnacht (od 85. Leonardo Bertone), Roger Assalé, Guillaume Hoarau (od 79. Jean-Pierre Nsame), Miralem Sulejmani (od 74. Moumi Ngamaleu).
Trener: Gerardo Seoane
            
            Valencia: Neto, Cristiano Piccini, Gabriel Paulista, Jose Gaya, Mouctar Diakhaby, Ferran Torres (od 67. Kevin Gameiro), Geoffrey Kondogbia (od 70. Francis Coquelin), Daniel Parejo, Carlos Soler, Rodrigo, Michy Batshuayi.
Trener: Marcelino"
"1541972267-101","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","1:1","https://www.nogomania.com/Evropske-Lige/Ekipa/Inter/Novica/Icardi-je-poskrbel-za-remi-v-Milanu.aspx","Icardi je poskrbel za remi v Milanu","Štadion: Giuseppe Meazza, Gledalcev: 70915, Sodnik: Szymon Marciniak (POL)
        
        
            
                
                
                Inter
            
            
                1 : 1
            
            
                
                
                Barcelona
            
        
    
    
        
            
            
          42'Ivan Rakitić 0 : 183'Malcom84'Marcelo Brozović  87'Mauro Icardi1 : 1 88'Ivan Perišić  
        
        
            Inter: Samir Handanovič, Šime Vrsaljko, Stefan de Vrij, Milan Škriniar, Kwadwo Asamoah, Marcelo Brozović (od 85. Lautaro Martinez), Matias Vecino, Ivan Perišić, Matteo Politano (od 81. Antonio Candreva), Radja Nainggolan (od 63. Borja Valero), Mauro Icardi.
Trener: Luciano Spalletti
            
            Barcelona: Marc-Andre ter Stegen, Gerard Pique, Clément Lenglet, Jordi Alba, Arthur (od 74. Arturo Vidal), Sergio Busquets, Ivan Rakitić, Coutinho, Sergi Roberto, Ousmane Dembele (od 81. Malcom), Luis Suarez.
Trener: Ernesto Valverde"
"1541972136-59","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","0:2","https://www.nogomania.com/Evropske-Lige/Ekipa/Valencia/Novica/Nic-ne-more-zmotiti-Juventusa.aspx","Nič ne more zmotiti Juventusa","Štadion: Mestalla, Gledalcev: 46067, Sodnik: Felix Brych (NEM)
        
        
            
                
                
                Valencia
            
            
                0 : 2
            
            
                
                
                Juventus
            
        
    
    
        
            
            
          29'Cristiano Ronaldo43'Daniel Parejo   0 : 145'Miralem Pjanić (11m)49'Jeison Murillo   0 : 251'Miralem Pjanić (11m)54'Ruben Vezo    59'Alex Sandro  81'Wojciech Szczesny  96'Daniele Rugani
        
        
            Valencia: Neto, Daniel Wass, Jeison Murillo, Gabriel Paulista, Jose Gaya, Ruben Vezo (od 57. Denis Čerišev), Daniel Parejo, Gonçalo Guedes (od 70. Santi Mina), Carlos Soler, Rodrigo, Michy Batshuayi (od 70. Kevin Gameiro).
Trener: Marcelino
            
            Juventus: Wojciech Szczesny, Alex Sandro, Leonardo Bonucci, Giorgio Chiellini, Joao Cancelo, Sami Khedira (od 23. Emre Can), Blaise Matuidi, Miralem Pjanić (od 67. Douglas Costa, od 89. Daniele Rugani), Federico Bernardeschi, Mario Mandžukić, Cristiano Ronaldo.
Trener: Massimiliano Allegri"
"1541972245-94","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","2:0","https://www.nogomania.com/Evropske-Lige/Ekipa/Crvena-zvezda/Novica/Senzacija-vseh-senzacij-v-Beogradu.aspx","Senzacija vseh senzacij v Beogradu!","Štadion: Marakana, Gledalcev: 51318, Sodnik: Antonio Mateu (ŠPA)
        
        
            
                
                
                Crvena zvezda
            
            
                2 : 0
            
            
                
                
                Liverpool
            
        
    
    
        
            
            
        5'Marko Marin  22'Milan Pavkov1 : 0 29'Milan Pavkov2 : 0   36'Adam Lallana
        
        
            Crvena zvezda: Milan Borjan, Vujadin Savić, Miloš Degenek, Milan Rodić, Filip Stojković (od 59. Marko Gobeljić), Dušan Jovančić, Slavoljub Srnić, Nenad Krstičić (od 73. Branko Jovičić), Marko Marin (od 64. Goran Čaušić), El Fardou Ben Nabouhane, Milan Pavkov.
Trener: Vladan Milojević
            
            Liverpool: Alisson, Trent Alexander-Arnold (od 46. Joe Gomez), Virgil van Dijk, Joel Matip, Andrew Robertson, James Milner, Georginio Wijnaldum, Adam Lallana (od 79. Divock Origi), Mohamed Salah, Sadio Mane, Daniel Sturridge (od 46. Roberto Firmino).
Trener: Jürgen Klopp"
"1541972304-112","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","1:1","https://www.nogomania.com/Evropske-Lige/Ekipa/AS-Monaco/Novica/Dvoboj-za-ligo-Europa-brez-zmagovalca.aspx","Dvoboj za ligo Europa brez zmagovalca","Štadion: Jan Breydel Stadium, Gledalcev: 23957, Sodnik: Michael Oliver (ANG)
        
        
            
                
                
                Club Brugge
            
            
                1 : 1
            
            
                
                
                Monaco
            
        
    
    
        
            
            
         0 : 131'Moussa Sylla39'Wesley1 : 1   44'Djibril Sidibé  57'Jemerson64'Marvelous Nakamba  85'Wesley  89'Emmanuel Dennis    92'Youri Tielemans
        
        
            Club Brugge: Karlo Letica, Marvelous Nakamba, Brandon Mechele, Benoit Poulain, Stefano Denswil, Ruud Vormer, Hans Vanaken, Wesley, Thibault Vlietinck (od 83. Clinton Mata), Emmanuel Dennis (od 90. Krépin Diatta), Kaveh Rezaei (od 79. Lois Openda).
Trener: Ivan Leko
            
            Monaco: Loic Badiashile, Andrea Raggi, Kamil Glik, Djibril Sidibé (od 64. Benjamin Henrichs), Jemerson, Youssef Ait Bennasser, Youri Tielemans, Aleksandr Golovin, Nacer Chadli, Stevan Jovetić (od 12. Sofiane Diop, od 73. Jean-Eudes Aholou), Moussa Sylla.
Trener: Thierry Henry"
"1541972178-71","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","0:3","https://www.nogomania.com/Evropske-Lige/Ekipa/Sahtar-Donjeck/Novica/City-je-popravil-napako-iz-prvega-kroga.aspx","City je popravil napako iz prvega kroga","Štadion: Donbass Arena, Gledalcev: 37106, Sodnik: 
        
        
            
                
                
                Šahtar
            
            
                0 : 3
            
            
                
                
                Manchester City
            
        
    
    
        
            
            
         0 : 130'David Silva 0 : 235'Aymeric Laporte 0 : 370'Bernardo Silva87'Sergej Krivcov    94'Nicolas Otamendi
        
        
            Šahtar: Andrij Pjatov, Sergej Krivcov, Jaroslav Rakitskij, Ismaily, Mikola Matvienko, Maycon, Fernando (od 84. Dentinho), Wellington Nem (od 69. Sergij Bolbat), Viktor Kovalenko (od 62. Alan Patrick), Taras Stepanenko, Junior Moraes.
Trener: Paulo Fonseca
            
            Manchester City: Ederson, Nicolas Otamendi, Aymeric Laporte, John Stones (od 80. Kyle Walker), Benjamin Mendy, Fernandinho, Kevin De Bruyne (od 69. Bernardo Silva), Raheem Sterling, Bernardo Silva, Gabriel Jesus (od 87. Phil Foden), Riyad Mahrez.
Trener: Josep Guardiola"
"1541972215-84","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","3:0","https://www.nogomania.com/Evropske-Lige/Ekipa/AFC-Ajax/Novica/Ajax-je-trl-in-strl-AEK.aspx","Ajax je trl in strl AEK","Štadion: Amsterdam Arena, Gledalcev: 52285, Sodnik: Carlos Del Cerro (ŠPA)
        
        
            
                
                
                Ajax
            
            
                3 : 0
            
            
                
                
                AEK
            
        
    
    
        
            
            
        46'Nicolas Tagliafico1 : 0   72'Alef74'Frenkie de Jong    74'Petros Mantalos75'Hakim Ziyech  77'Donny van de Beek2 : 0 88'Nicolas Tagliafico  90'Nicolas Tagliafico3 : 0 
        
        
            Ajax: André Onana, Noussair Mazraoui, Nicolas Tagliafico, Carel Eiting, Frenkie de Jong, David Neres (od 78. Kasper Dolberg), Daley Blind, Lasse Schøne, Hakim Ziyech, Klaas-Jan Huntelaar (od 62. Donny van de Beek), Dušan Tadić.
Trener: Erik ten Hag
            
            AEK: Vasilios Barkas, Vasilios Lampropoulos, Uroš Ćosić, Marios Oikonomou, Niklas Hult, Michalis Bakakis (od 70. Giannis Gianniotas), André Simões, Konstantinos Galanopoulos (od 61. Alef), Petros Mantalos, Viktor Klonaridis, Ezequiel Ponce (od 81. Georgios Giakoumakis).
Trener: Marinos Ouzounidis"
"1541972311-114","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","3:0","https://www.nogomania.com/Evropske-Lige/Ekipa/Borussia-Dortmund/Novica/Monaco-nekonkurencen-tudi-v-ligi-prvakov.aspx","Monaco nekonkurenčen tudi v ligi prvakov","Štadion: Signal Iduna Park, Gledalcev: 66099, Sodnik: Aliaksei Kulbakov (BLR)
        
        
            
                
                
                Borussia Dortmund
            
            
                3 : 0
            
            
                
                
                Monaco
            
        
    
    
        
            
            
        51'Jacob Bruun Larsen1 : 0 72'Paco Alcacer2 : 0 92'Marco Reus3 : 0 
        
        
            Borussia Dortmund: Roman Burki, Abdou Diallo, Manuel Akanji, Dan-Axel Zagadou, Lukasz Piszczek, Marco Reus, Thomas Delaney (od 65. Julian Weigl), Axel Witsel, Paco Alcacer, Jadon Sancho (od 84. Maximilian Philipp), Marius Wolf (od 46. Jacob Bruun Larsen).
Trener: Lucien Favre
            
            Monaco: Diego Benaglio (od 45. Danijel Subašić), Andrea Raggi, Kamil Glik, Jemerson, Djibril Sidibé, Youri Tielemans, Aleksandr Golovin (od 77. Nacer Chadli), Benjamin Henrichs, Jean-Eudes Aholou, Moussa Sylla (od 70. Samuel Grandsir), Radamel Falcao.
Trener: Thierry Henry"
"1541972130-57","https://www.nogomania.com/Evropski-Pokali/Liga-Prvakov.aspx","0:0","https://www.nogomania.com/Evropske-Lige/Ekipa/Manchester-Utd/Novica/Na-Old-Traffordu-so-mreze-mirovale.aspx","Na Old Traffordu so mreže mirovale","Štadion: Old Trafford, Gledalcev: 73569, Sodnik: Slavko Vinčić (SLO)
        
        
            
                
                
                Manchester Utd.
            
            
                0 : 0
            
            
                
                
                Valencia
            
        
    
    
        
            
            
          21'Francis Coquelin  32'Rodrigo  45'Daniel Parejo  85'Cristiano Piccini86'Romelu Lukaku    87'Jose Gaya  92'Geoffrey Kondogbia
        
        
            Manchester Utd.: David De Gea, Chris Smalling, Luke Shaw, Eric Bailly, Paul Pogba, Nemanja Matić, Antonio Valencia, Marouane Fellaini, Romelu Lukaku, Alexis Sanchez (od 76. Anthony Martial), Marcus Rashford.
Trener: Jose Mourinho
            
            Valencia: Neto, Cristiano Piccini, Ezequiel Garay, Gabriel Paulista, Jose Gaya, Daniel Parejo, Gonçalo Guedes (od 83. Denis Čerišev), Francis Coquelin (od 78. Carlos Soler), Geoffrey Kondogbia, Rodrigo, Michy Batshuayi (od 73. Kevin Gameiro).
Trener: Marcelino"
