web-scraper-order,web-scraper-start-url,subject,title,comment_number,description,pagination,pagination-href
"1541626372-3752","https://www.nogomania.com/Novice.aspx","Evropske lige","Bo Iličić ostal brez odličnega soigralca?","0","Rimski Lazio je po poročanju italijanskih medijev na pragu sklenitve dogovora z Atalanto za prestop odličnega argentinskega krilnega napadalca Papuja Gomeza.","","https://www.nogomania.com/Novice.aspx?pid=288"
"1541625744-2410","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Linta: Zaradi tega poraza bomo močnejši","33","""Prav zaradi takšnih tekem smo zdaj bliže ligi Europa kot smo ji bili pred dvema urama,"" je po porazu na večnem derbiju povedal trener Olimpije Aleksandar Linta, ki verjame v moč kljubovanja svojih varovancev.","","https://www.nogomania.com/Novice.aspx?pid=171"
"1541625380-1655","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Dončić je zadovoljen s podobo Triglava","1","Po prvenstveni zmagi nad Domžalami je Triglav včeraj napadal še senzacijo v pokalu proti Olimpiji. Ni bil tako daleč, svojo kožo je drago prodal. Trener Dončić je z igro zadovoljen.","","https://www.nogomania.com/Novice.aspx?pid=105"
"1541625044-990","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Low: Muller je še vedno pomemben člen Nemčije","2","Napadalec Thomas Muller je izgubil mesto v postavi reprezentance Nemčije, a selektor Joachim Low ga še vedno vidi kot enega od pomembnih členov te zasedbe. Letos je za Elf dosegel le en zadetek.","","https://www.nogomania.com/Novice.aspx?pid=46"
"1541626213-3423","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Vladimir Petković je lahko miren","0","Predsednik Švicarske nogometne zveze (SFV) Peter Gillieron trdi, da je selektor Vladimir Petković varen kljub izpadu proti Švedski v osmini finala mundiala v Rusiji.","","https://www.nogomania.com/Novice.aspx?pid=259"
"1541625604-2124","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=146"
"1541624960-679","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Mariborčani bodo v torek govorili o sojenju","60","V torek bo v Mariboru na sporedu novinarska konferenca, na kateri bo beseda tekla o sodniškem kriteriju v 1. SNL. Mariborčani očitno na ta način reagirajo po porazu na sobotnem večnem derbiju.","","https://www.nogomania.com/Novice.aspx?pid=19"
"1541625266-1401","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=82"
"1541625788-2507","https://www.nogomania.com/Novice.aspx","Evropske lige","Čerišev se vrača v Valencio","0","Ruski reprezentant Denis Čerišev bo naslednjo sezono preživel pri Valencii, pri kateri bo nastopal kot posojen igralec Villarreala. Za Valencio bo zaigral drugič v svoji karieri.","","https://www.nogomania.com/Novice.aspx?pid=179"
"1541625116-1167","https://www.nogomania.com/Novice.aspx","Evropske lige","Real Madrid ima najbolj zvest kader","4","Študija nogometnega observatorija CIES je raziskovala, kateri evropski klubi se lahko pohvalijo z najbolj stalnim igralskim kadrom v Evropi. Daleč najbolj zvestega ima Real Madrid.","","https://www.nogomania.com/Novice.aspx?pid=62"
"1541625332-1547","https://www.nogomania.com/Novice.aspx","Evropske lige","Lampard premagal in hvalil Mourinha","2","Pester trenerski dvoboj dveh nekdanjih ključnih figur Chelseaja Joseja Mourinha in Franka Lamparda, se je na pokalni tekmi na Old Traffordu presenetljivo končal s slavjem novinca med trenerji.","","https://www.nogomania.com/Novice.aspx?pid=95"
"1541625445-1794","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Video: Ronaldov prvi in drugi v Serie A","12","Cristiano Ronaldo je proti Sassuolu zabil svoj prvi in drugi zadetek v Serie A in tako končal nervozno čakanje na svoj prvenec v majici Juventusa. Oglejte si prva Ronaldova gola v Italiji.","","https://www.nogomania.com/Novice.aspx?pid=117"
"1541626432-3866","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","VAR pomagal Švedski do zmage","14","Švedska je prvič po letu 1958 dobila prvo tekmo na svetovnem prvenstvu. Premagala je žilavo Južno Korejo, edini gol na tekmi pa je Granqvist dosegel z bele točke, potem ko je posredoval sistem VAR.","","https://www.nogomania.com/Novice.aspx?pid=298"
"1541625313-1502","https://www.nogomania.com/Novice.aspx","Evropske lige","Ronaldo bo odslužil eno tekmo prepovedi","24","Portugalski superzvezdnik Cristiano Ronaldo si je lahko oddahnil. Disciplinska komisija UEFA mu je za rdeči karton na srečanju proti Valencii izrekla le eno tekmo prepovedi igranja.","","https://www.nogomania.com/Novice.aspx?pid=91"
"1541625649-2218","https://www.nogomania.com/Novice.aspx","Evropske lige","Arsenal bo zaslužil čez 300 milijonov evrov","11","Adidas bo Arsenal iztrgal iz rok konkurenčnega opremljevalca, londonski klub pa bo v zameno dobil zajetno sponzorsko pogodbo, ki jo prekašata le Barcelona in Manchester United.","","https://www.nogomania.com/Novice.aspx?pid=154"
"1541625308-1495","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=90"
"1541625401-1701","https://www.nogomania.com/Novice.aspx","Evropske lige","Bavarsko slavje v Lizboni","2","Gola Roberta Lewandowskega in Renata Sanchesa sta nemškemu prvaku Bayernu in njegovemu novemu trenerju Niku Kovaču prinesla prvo zmago v ligi prvakov to sezono.","","https://www.nogomania.com/Novice.aspx?pid=109"
"1541624998-868","https://www.nogomania.com/Novice.aspx","Evropske lige","Gasperini: Ko igra Jojo, igra cela ekipa","1","Trener Atalante Gian Piero Gasperini si je po zmagi proti Chievu morebiti celo rešil službo, ključno vlogo pa je pri tem odigral igralec, na katerega je podobne upe polagal tudi nekdanji slovenski selektor Tomaž Kavčič.","","https://www.nogomania.com/Novice.aspx?pid=36"
"1541625604-2127","https://www.nogomania.com/Novice.aspx","Evropske lige","Bernat iz Munchna v Pariz","2","Francoski prvak Paris Saint Germain je na zadnji dan prestopnega roka svoje vrste okrepil s španskim bočnim branilcem Juanom Bernatom, ki v Francijo prihaja iz munchenskega Bayerna.","","https://www.nogomania.com/Novice.aspx?pid=146"
"1541625471-1856","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Propadli Jackson Martinez našel nov klub","2","Kolumbijec Jackson Martinez je bil še pred tremi leti eden najbolj zaželenih napadalcev v Evropi, danes pa bo povsem zavoženo kariero reševal pri portugalskem malčku Portimonenseju.","","https://www.nogomania.com/Novice.aspx?pid=122"
"1541625471-1853","https://www.nogomania.com/Novice.aspx","Evropske lige","Guardiola bi končal z mladinci Barcelone","4","Trener Manchester Cityja Josep Guardiola bi svojo trenersko kariero najraje končal tam, kjer je začel svojo trenersko pot - v mladinskem pogonu Barcelone.","","https://www.nogomania.com/Novice.aspx?pid=122"
